"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 03 14:30:38 GMT 2021","Fri Dec 03 14:33:57 GMT 2021","198958","Chrome","recorded/login.test.ts","","","","test",""
"passed","Fri Dec 03 14:30:32 GMT 2021","Fri Dec 03 14:30:38 GMT 2021","6158","Chrome","preserveLogin/auth.test.ts","","","","Authenticate from saved storage state",""
"passed","Fri Dec 03 14:30:59 GMT 2021","Fri Dec 03 14:31:02 GMT 2021","2432","Firefox","basics/third.test.ts","","","","third basic test",""
"passed","Fri Dec 03 14:30:52 GMT 2021","Fri Dec 03 14:30:56 GMT 2021","4442","Firefox","basics/first.test.ts","","","","first basic test",""
"broken","Fri Dec 03 14:34:32 GMT 2021","Fri Dec 03 14:37:40 GMT 2021","188774","iPhone 11","recorded/login.test.ts","","","","test",""
"passed","Fri Dec 03 14:30:56 GMT 2021","Fri Dec 03 14:30:59 GMT 2021","2975","Firefox","basics/second.test.ts","","","","second basic test",""
"failed","Fri Dec 03 14:31:02 GMT 2021","Fri Dec 03 14:31:11 GMT 2021","8844","Firefox","pom/models_pom.test.ts","","","","Models Page Object Model",""
"passed","Fri Dec 03 14:34:31 GMT 2021","Fri Dec 03 14:34:38 GMT 2021","6950","iPhone 11","preserveLogin/auth.test.ts","","","","Authenticate from saved storage state",""
"passed","Fri Dec 03 14:30:21 GMT 2021","Fri Dec 03 14:30:21 GMT 2021","620","Chrome","basics/getRunTimeConfig.test.ts","Get runtime config","","","should return config",""
"broken","Fri Dec 03 14:31:21 GMT 2021","Fri Dec 03 14:34:21 GMT 2021","180668","Firefox","recorded/login.test.ts","","","","test",""
"passed","Fri Dec 03 14:31:11 GMT 2021","Fri Dec 03 14:31:21 GMT 2021","9312","Firefox","preserveLogin/auth.test.ts","","","","Authenticate from saved storage state",""
"passed","Fri Dec 03 14:34:22 GMT 2021","Fri Dec 03 14:34:31 GMT 2021","9307","iPhone 11","pom/models_pom.test.ts","","","","Models Page Object Model",""
"passed","Fri Dec 03 14:30:23 GMT 2021","Fri Dec 03 14:30:25 GMT 2021","1784","Chrome","basics/third.test.ts","","","","third basic test",""
"passed","Fri Dec 03 14:34:04 GMT 2021","Fri Dec 03 14:34:07 GMT 2021","2093","iPhone 11","basics/first.test.ts","","","","first basic test",""
"passed","Fri Dec 03 14:30:21 GMT 2021","Fri Dec 03 14:30:24 GMT 2021","2276","Chrome","basics/second.test.ts","","","","second basic test",""
"failed","Fri Dec 03 14:34:38 GMT 2021","Fri Dec 03 14:34:47 GMT 2021","9291","iPhone 11","recorded/sample.test.ts","","","","recorded test",""
"passed","Fri Dec 03 14:34:07 GMT 2021","Fri Dec 03 14:34:10 GMT 2021","3528","iPhone 11","basics/second.test.ts","","","","second basic test",""
"failed","Fri Dec 03 14:31:02 GMT 2021","Fri Dec 03 14:31:02 GMT 2021","13","Firefox","pom/login_pom.test.ts","","","","Login Page Object Model",""
"failed","Fri Dec 03 14:33:58 GMT 2021","Fri Dec 03 14:34:03 GMT 2021","5625","Firefox","recorded/sample.test.ts","","","","recorded test",""
"passed","Fri Dec 03 14:30:20 GMT 2021","Fri Dec 03 14:30:23 GMT 2021","2394","Chrome","basics/first.test.ts","","","","first basic test",""
"passed","Fri Dec 03 14:30:56 GMT 2021","Fri Dec 03 14:30:56 GMT 2021","4","Firefox","basics/getRunTimeConfig.test.ts","Get runtime config","","","should return config",""
"passed","Fri Dec 03 14:30:43 GMT 2021","Fri Dec 03 14:30:52 GMT 2021","8954","Chrome","recorded/sample.test.ts","","","","recorded test",""
"failed","Fri Dec 03 14:30:24 GMT 2021","Fri Dec 03 14:30:42 GMT 2021","18635","Chrome","pom/login_pom.test.ts","","","","Login Page Object Model",""
"passed","Fri Dec 03 14:34:07 GMT 2021","Fri Dec 03 14:34:07 GMT 2021","1","iPhone 11","basics/getRunTimeConfig.test.ts","Get runtime config","","","should return config",""
"passed","Fri Dec 03 14:34:10 GMT 2021","Fri Dec 03 14:34:12 GMT 2021","2193","iPhone 11","basics/third.test.ts","","","","third basic test",""
"passed","Fri Dec 03 14:30:25 GMT 2021","Fri Dec 03 14:30:32 GMT 2021","7543","Chrome","pom/models_pom.test.ts","","","","Models Page Object Model",""
"failed","Fri Dec 03 14:34:12 GMT 2021","Fri Dec 03 14:34:31 GMT 2021","19071","iPhone 11","pom/login_pom.test.ts","","","","Login Page Object Model",""
